112	503,479	138,858	503,479	138,858
176	1,168,107	323,425	1,168,108	323,424
240	2,127,512	589,844	2,127,521	589,849
304	3,381,848	938,201	3,381,859	938,204
368	4,931,088	1,368,465	4,931,088	1,368,465
432	6,775,251	1,880,661	6,775,252	1,880,660
496	8,914,379	2,474,810	8,914,380	2,474,809
560	11,348,364	3,150,840	11,348,365	3,150,839
624	14,077,254	3,908,790	14,077,259	3,908,792
688	17,101,072	4,748,666	17,101,074	4,748,666
752	20,419,787	5,670,458	20,419,788	5,670,457
816	24,033,410	6,674,158	24,033,415	6,674,162
880	27,941,958	7,759,798	27,941,958	7,759,795
944	32,145,432	8,927,358	32,145,412	8,927,346
1008	36,643,774	10,176,813	36,643,783	10,176,822
1072	41,437,057	11,508,208	41,437,066	11,508,217
